symbol	psymbol	NM	ENSG
CASS4	C20orf32	NM_020356	ENSG00000087589
CAST	CAST	NM_173062	ENSG00000153113
CASTOR1	GATSL3	NM_001037666	ENSG00000239282
CASTOR2	GATSL1	NM_001145064	ENSG00000274070
CASTOR2	GATSL2	NM_001145064	ENSG00000274070
CASTOR3	GATS	NM_178831	ENSG00000239521
CASZ1	CASZ1	NM_017766	ENSG00000130940
CAT	CAT	NM_001752	ENSG00000121691
CATIP	C2orf62	NM_198559	ENSG00000158428
CATSPER1	CATSPER1	NM_053054	ENSG00000175294
CATSPER2	CATSPER2	NM_054020	ENSG00000166762
CATSPER3	CATSPER3	NM_178019	ENSG00000152705
CATSPER4	CATSPER4	NM_198137	ENSG00000188782
CATSPERB	C14orf161	NM_024764	ENSG00000133962
CATSPERD	TMEM146	NM_152784	ENSG00000174898
CATSPERE	C1orf101	NM_173807	ENSG00000179397
CATSPERG	C19orf15	NM_021185	ENSG00000099338
CATSPERZ	C11orf20	NM_001039496	ENSG00000219435
CATSPERZ	TEX40	NM_001039496	ENSG00000219435
CAV1	CAV	NM_001753	ENSG00000105974
CAV2	CAV2	NM_001233	ENSG00000105971
CAV3	CAV3	NM_033337	ENSG00000182533
CAVIN2	SDPR	NM_004657	ENSG00000168497
CAVIN3	PRKCDBP	NM_145040	ENSG00000170955
CAVIN4	MURC	NM_001018116	ENSG00000170681
CBARP	C19orf26	NM_152769	ENSG00000099625
CBFA2T2	CBFA2T2	NM_001032999	ENSG00000078699
CBFA2T3	CBFA2T3	NM_005187	ENSG00000129993
CBFB	CBFB	NM_001755	ENSG00000067955
CBL	CBL2	NM_005188	ENSG00000110395
CBLB	CBLB	NM_170662	ENSG00000114423
CBLC	CBLC	NM_012116	ENSG00000142273
CBLIF	GIF	NM_005142	ENSG00000134812
CBLL1	CBLL1	NM_024814	ENSG00000105879
CBLL2	ZNF645	NM_152577	ENSG00000175809
CBLN1	CBLN1	NM_004352	ENSG00000102924
CBLN2	CBLN2	NM_182511	ENSG00000141668
CBLN4	CBLNL1	NM_080617	ENSG00000054803
CBR4	CBR4	NM_032783	ENSG00000145439
CBS	CBS	NM_000071	ENSG00000160200
CBWD1	CBWD1	NM_018491	ENSG00000172785
CBWD2	CBWD2	NM_172003	ENSG00000136682
CBWD3	CBWD3	NM_201453	ENSG00000196873
CBWD6	CBWD7	NM_001085457	ENSG00000215126
CBX1	CBX1	NM_006807	ENSG00000108468
CBX2	CDCA6	NM_032647	ENSG00000173894
CBX3	CBX3	NM_007276	ENSG00000122565
CBX4	CBX4	NM_003655	ENSG00000141582
CBX5	CBX5	NM_012117	ENSG00000094916
CBX6	CBX6	NM_014292	ENSG00000183741
CBX7	CBX7	NM_175709	ENSG00000100307
CBX8	CBX8	NM_020649	ENSG00000141570
CBY1	C22orf2	NM_015373	ENSG00000100211
CBY1	PGEA1	NM_015373	ENSG00000100211
CBY3	CBY3	NM_001164444	ENSG00000204659
CC2D1A	CC2D1A	NM_017721	ENSG00000132024
CC2D1B	CC2D1B	NM_032449	ENSG00000154222
CC2D2A	CC2D2A	NM_001080522	ENSG00000048342
CC2D2B	C10orf130	NM_001349008	ENSG00000188649
CC2D2B	C10orf131	NM_001349008	ENSG00000188649
CCAR1	CCAR1	NM_018237	ENSG00000060339
CCAR2	KIAA1967	NM_021174	ENSG00000158941
CCBE1	CCBE1	NM_133459	ENSG00000183287
CCDC3	CCDC3	NM_031455	ENSG00000151468
CCDC6	TST1	NM_005436	ENSG00000108091
CCDC6	D10S170	NM_005436	ENSG00000108091
CCDC7	C10orf68	NM_145023	ENSG00000216937
CCDC8	CCDC8	NM_032040	ENSG00000169515
CCDC9	CCDC9	NM_015603	ENSG00000105321
CCDC9B	C15orf52	NM_207380	ENSG00000188549
CCDC12	CCDC12	NM_144716	ENSG00000160799
CCDC13	CCDC13	NM_144719	ENSG00000244607
CCDC14	CCDC14	NM_022757	ENSG00000175455
CCDC15	CCDC15	NM_025004	ENSG00000149548
CCDC17	CCDC17	NM_152500	ENSG00000159588
CCDC18	CCDC18	NM_206886	ENSG00000122483
CCDC22	CXorf37	NM_014008	ENSG00000101997
CCDC24	CCDC24	NM_152499	ENSG00000159214
CCDC25	CCDC25	NM_018246	ENSG00000147419
CCDC27	CCDC27	NM_152492	ENSG00000162592
CCDC28A	C6orf80	NM_015439	ENSG00000024862
CCDC28B	CCDC28B	NM_024296	ENSG00000160050
CCDC30	CCDC30	NM_025030	ENSG00000186409
CCDC32	C15orf57	NM_052849	ENSG00000128891
CCDC34	CCDC34	NM_030771	ENSG00000109881
CCDC36	CCDC36	NM_178173	ENSG00000173421
CCDC38	CCDC38	NM_182496	ENSG00000165972
CCDC39	CCDC39	NM_181426	ENSG00000145075
CCDC40	CCDC40	NM_001243342	ENSG00000141519
CCDC42	CCDC42	NM_144681	ENSG00000161973
CCDC50	C3orf6	NM_174908	ENSG00000152492
CCDC50	DFNA44	NM_174908	ENSG00000152492
CCDC51	CCDC51	NM_024661	ENSG00000164051
CCDC54	CCDC54	NM_032600	ENSG00000138483
CCDC57	CCDC57	NM_198082	ENSG00000176155
CCDC58	CCDC58	NM_001017928	ENSG00000160124
CCDC60	CCDC60	NM_178499	ENSG00000183273
CCDC61	CCDC61	NM_001080402	ENSG00000104983
CCDC62	CCDC62	NM_032573	ENSG00000130783
CCDC63	CCDC63	NM_152591	ENSG00000173093
CCDC65	CCDC65	NM_033124	ENSG00000139537
CCDC66	CCDC66	NM_001012506	ENSG00000180376
CCDC68	CCDC68	NM_025214	ENSG00000166510
CCDC69	CCDC69	NM_015621	ENSG00000198624
CCDC70	CCDC70	NM_031290	ENSG00000123171
CCDC71	CCDC71	NM_022903	ENSG00000177352
CCDC71L	C7orf74	NM_175884	ENSG00000253276
CCDC73	CCDC73	NM_001008391	ENSG00000186714
CCDC74A	CCDC74A	NM_138770	ENSG00000163040
CCDC74B	CCDC74B	NM_207310	ENSG00000152076
CCDC77	CCDC77	NM_032358	ENSG00000120647
CCDC78	C16orf25	NM_173476	ENSG00000162004
CCDC80	CCDC80	NM_199511	ENSG00000091986
CCDC81	CCDC81	NM_021827	ENSG00000149201
CCDC82	CCDC82	NM_024725	ENSG00000149231
CCDC83	CCDC83	NM_173556	ENSG00000150676
CCDC84	CCDC84	NM_198489	ENSG00000186166
CCDC85C	CCDC85C	NM_001144995	ENSG00000205476
CCDC86	CCDC86	NM_024098	ENSG00000110104
CCDC87	CCDC87	NM_018219	ENSG00000182791
CCDC88A	KIAA1212	NM_017571	ENSG00000115355
CCDC88B	CCDC88	NM_032251	ENSG00000168071
CCDC88C	KIAA1509	NM_001080414	ENSG00000015133
CCDC89	CCDC89	NM_152723	ENSG00000179071
CCDC90B	CCDC90B	NM_021825	ENSG00000137500
CCDC92	CCDC92	NM_025140	ENSG00000119242
CCDC93	CCDC93	NM_019044	ENSG00000125633
CCDC96	CCDC96	NM_153376	ENSG00000173013
CCDC102A	CCDC102A	NM_033212	ENSG00000135736
CCDC102B	C18orf14	NM_024781	ENSG00000150636
CCDC102B	ACY1L	NM_024781	ENSG00000150636
CCDC103	CCDC103	NM_213607	ENSG00000167131
CCDC106	CCDC106	NM_013301	ENSG00000173581
CCDC107	CCDC107	NM_174923	ENSG00000159884
CCDC110	CCDC110	NM_152775	ENSG00000168491
CCDC112	CCDC112	NM_152549	ENSG00000164221
CCDC113	CCDC113	NM_014157	ENSG00000103021
CCDC114	CCDC114	NM_144577	ENSG00000105479
CCDC115	CCDC115	NM_032357	ENSG00000136710
CCDC116	CCDC116	NM_152612	ENSG00000161180
CCDC117	CCDC117	NM_173510	ENSG00000159873
CCDC120	CCDC120	NM_033626	ENSG00000147144
CCDC121	CCDC121	NM_024584	ENSG00000176714
CCDC122	CCDC122	NM_144974	ENSG00000151773
CCDC124	CCDC124	NM_138442	ENSG00000007080
CCDC125	CCDC125	NM_176816	ENSG00000183323
CCDC126	CCDC126	NM_138771	ENSG00000169193
CCDC127	CCDC127	NM_145265	ENSG00000164366
CCDC134	CCDC134	NM_024821	ENSG00000100147
CCDC136	CCDC136	NM_022742	ENSG00000128596
CCDC138	CCDC138	NM_144978	ENSG00000163006
CCDC140	CCDC140	NM_153038	ENSG00000163081
CCDC141	CCDC141	NM_173648	ENSG00000163492
CCDC142	CCDC142	NM_032779	ENSG00000135637
CCDC144B	CCDC144B	NM_182568	ENSG00000154874
CCDC144NL	CCDC144NL	NM_001004306	ENSG00000205212
CCDC146	CCDC146	NM_020879	ENSG00000135205
CCDC148	CCDC148	NM_138803	ENSG00000153237
CCDC149	CCDC149	NM_173463	ENSG00000181982
CCDC150	CCDC150	NM_001080539	ENSG00000144395
CCDC151	CCDC151	NM_145045	ENSG00000198003
CCDC152	CCDC152	NM_001134848	ENSG00000198865
CCDC153	CCDC153	NM_001033658	ENSG00000248712
CCDC154	C16orf29	NM_001143980	ENSG00000197599
CCDC155	CCDC155	NM_144688	ENSG00000161609
CCDC157	CCDC157	NM_001017437	ENSG00000187860
CCDC158	CCDC158	NM_001042784	ENSG00000163749
CCDC159	CCDC159	NM_001080503	ENSG00000183401
CCDC160	CCDC160	NM_001101357	ENSG00000203952
CCDC163	C1orf231	NM_001102601	ENSG00000280670
CCDC163	CCDC163P	NM_001102601	ENSG00000280670
CCDC166	CCDC166	NM_001162914	ENSG00000255181
CCDC167	C6orf129	NM_138493	ENSG00000198937
CCDC168	C13orf40	NM_001146197	ENSG00000175820
CCDC169	C13orf38	NM_001144981	ENSG00000242715
CCDC169_SOHLH2	C13orf38_SOHLH2	NM_001198910.1	ENSG00000250709
CCDC170	C6orf97	NM_025059	ENSG00000120262
CCDC171	C9orf93	NM_173550	ENSG00000164989
CCDC172	C10orf96	NM_198515	ENSG00000182645
CCDC173	C2orf77	NM_001085447	ENSG00000154479
CCDC174	C3orf19	NM_016474	ENSG00000154781
CCDC175	C14orf38	NM_001164399	ENSG00000151838
CCDC177	C14orf162	NM_001271507	ENSG00000267909
CCDC178	C18orf34	NM_198995	ENSG00000166960
CCDC179	CCDC179	NM_001195637	ENSG00000255359
CCDC180	KIAA1529	NM_020893	ENSG00000197816
CCDC180	C9orf174	NM_020893	ENSG00000197816
CCDC181	C1orf114	NM_021179	ENSG00000117477
CCDC183	KIAA1984	NM_032874	ENSG00000213213
CCDC184	C12orf68	NM_001013635	ENSG00000177875
CCDC185	C1orf65	NM_152610	ENSG00000178395
CCDC186	C10orf118	NM_018017	ENSG00000165813
CCDC189	C16orf93	NM_001014979	ENSG00000196118
CCDC190	C1orf110	NM_178550	ENSG00000185860
CCDC191	KIAA1407	NM_020817	ENSG00000163617
CCDC196	C14orf53	NM_001351576	ENSG00000196553
CCDC196	NCRNA00238	NM_001351576	ENSG00000196553
CCDC196	LINC00238	NM_001351576	ENSG00000196553
CCDC197	LINC00521	NM_001351596	ENSG00000175699
CCDC197	C14orf48	NM_001351596	ENSG00000175699
CCDC198	C14orf105	NM_018168	ENSG00000100557
CCDC200	TMEM106A_AS1	NM_001363254	ENSG00000236383
CCDC200	LINC00854	NM_001363254	ENSG00000236383
CCER1	C12orf12	NM_152638	ENSG00000197651
CCER2	CCER2	NM_001243212	ENSG00000262484
CCHCR1	C6orf18	NM_019052	ENSG00000204536
CCIN	CCIN	NM_005893	ENSG00000185972
CCK	CCK	NM_000729	ENSG00000187094
CCKBR	CCKBR	NM_176875	ENSG00000110148
CCL1	SCYA1	NM_002981	ENSG00000108702
CCL2	SCYA2	NM_002982	ENSG00000108691
CCL3	SCYA3	NM_002983	ENSG00000277632
CCL3L1	D17S1718	NM_021006	ENSG00000277796
CCL3L1	SCYA3L	NM_021006	ENSG00000277796
CCL3L1	SCYA3L1	NM_021006	ENSG00000277796
CCL3L3	CCL3L3	NM_001001437	ENSG00000276085
CCL4	LAG1	NM_002984	ENSG00000275302
CCL4	SCYA4	NM_002984	ENSG00000275302
CCL4L2	CCL4L2	NM_001291468	ENSG00000276070
CCL5	D17S136E	NM_002985	ENSG00000271503
CCL5	SCYA5	NM_002985	ENSG00000271503
CCL7	SCYA6	NM_006273	ENSG00000108688
CCL7	SCYA7	NM_006273	ENSG00000108688
CCL8	SCYA8	NM_005623	ENSG00000108700
CCL11	SCYA11	NM_002986	ENSG00000172156
CCL13	SCYA13	NM_005408	ENSG00000181374
CCL14	SCYA14	NM_032962	ENSG00000276409
CCL15	SCYA15	NM_004167	ENSG00000275718
CCL16	SCYA16	NM_004590	ENSG00000275152
CCL17	SCYA17	NM_002987	ENSG00000102970
CCL18	SCYA18	NM_002988	ENSG00000275385
CCL19	SCYA19	NM_006274	ENSG00000172724
CCL20	SCYA20	NM_004591	ENSG00000115009
CCL21	SCYA21	NM_002989	ENSG00000137077
CCL22	SCYA22	NM_002990	ENSG00000102962
CCL23	SCYA23	NM_005064	ENSG00000274736
CCL23	SCYA23	NM_145898	ENSG00000274736
CCL24	SCYA24	NM_002991	ENSG00000106178
CCL25	SCYA25	NM_005624	ENSG00000131142
CCL26	SCYA26	NM_006072	ENSG00000006606
CCL27	SCYA27	NM_006664	ENSG00000213927
CCL28	CCL28	NM_148672	ENSG00000151882
CCM2	C7orf22	NM_031443	ENSG00000136280
CCM2L	C20orf160	NM_080625	ENSG00000101331
CCN1	IGFBP10	NM_001554	ENSG00000142871
CCN1	CYR61	NM_001554	ENSG00000142871
CCN2	CTGF	NM_001901	ENSG00000118523
CCN3	NOV	NM_002514	ENSG00000136999
CCN4	WISP1_OT1	NM_003882	ENSG00000104415
CCN4	WISP1_UT1	NM_003882	ENSG00000104415
CCN4	WISP1	NM_003882	ENSG00000104415
CCN5	WISP2	NM_003881	ENSG00000064205
CCN6	WISP3	NM_003880	ENSG00000112761
CCNA1	CCNA1	NM_003914	ENSG00000133101
CCNA2	CCNA	NM_001237	ENSG00000145386
CCNA2	CCNA2	NM_001237	ENSG00000145386
CCNB1	CCNB	NM_031966	ENSG00000134057
CCNB1IP1	C14orf18	NM_021178	ENSG00000100814
CCNB1IP1	C14orf18	NM_182849	ENSG00000100814
CCNB1IP1	C14orf18	NM_182851	ENSG00000100814
CCNB1IP1	C14orf18	NM_182852	ENSG00000100814
CCNB2	CCNB2	NM_004701	ENSG00000157456
CCNC	CCNC	NM_005190	ENSG00000112237
CCND1	BCL1	NM_053056	ENSG00000110092
CCND1	D11S287E	NM_053056	ENSG00000110092
CCND1	PRAD1	NM_053056	ENSG00000110092
CCND2	CCND2	NM_001759	ENSG00000118971
CCND3	CCND3	NM_001760	ENSG00000112576
CCNDBP1	CCNDBP1	NM_012142	ENSG00000166946
CCNE1	CCNE	NM_001238	ENSG00000105173
CCNE2	CCNE2	NM_057749	ENSG00000175305
CCNE2	CCNE2	NM_004702	ENSG00000175305
CCNF	CCNF	NM_001761	ENSG00000162063
CCNG1	CCNG	NM_004060	ENSG00000113328
CCNG2	CCNG2	NM_004354	ENSG00000138764
CCNH	CCNH	NM_001239	ENSG00000134480
CCNI	CCNI	NM_006835	ENSG00000118816
CCNI2	CCNI2	NM_001039780	ENSG00000205089
CCNJ	CCNJ	NM_019084	ENSG00000107443
CCNJL	CCNJL	NM_024565	ENSG00000135083
CCNL1	CCNL1	NM_020307	ENSG00000163660
CCNL2	CCNM	NM_030937	ENSG00000221978
CCNO	CCNU	NM_021147	ENSG00000152669
CCNQ	FAM58A	NM_152274	ENSG00000262919
CCNT1	HIVE1	NM_001240	ENSG00000129315
CCNT2	CCNT2	NM_058241	ENSG00000082258
CCNY	C10orf9	NM_181698	ENSG00000108100
CCNYL1	CCNYL1	NM_152523	ENSG00000163249
CCP110	CCP110	NM_014711	ENSG00000103540
CCPG1	CCPG1	NM_004748	ENSG00000260916
CCR1	SCYAR1	NM_001295	ENSG00000163823
CCR1	CMKBR1	NM_001295	ENSG00000163823
CCR2	CMKBR2	NM_000647	ENSG00000121807
CCR5	CMKBR5	NM_000579	ENSG00000160791
CCR8	CMKBRL2	NM_005201	ENSG00000179934
CCR8	CMKBR8	NM_005201	ENSG00000179934
CCR10	GPR2	NM_016602	ENSG00000184451
CCS	CCS	NM_005125	ENSG00000173992
CCSAP	C1orf96	NM_145257	ENSG00000154429
CCSER1	FAM190A	NM_001145065	ENSG00000184305
CCSER2	KIAA1128	NM_018999	ENSG00000107771
CCSER2	FAM190B	NM_018999	ENSG00000107771
CCT2	CCT2	NM_006431	ENSG00000166226
CCT3	TRIC5	NM_005998	ENSG00000163468
CCT6A	CCT6	NM_001762	ENSG00000146731
CCT6B	CCT6B	NM_006584	ENSG00000132141
CCZ1	C7orf28A	NM_015622	ENSG00000122674
CCZ1B	C7orf28B	NM_198097	ENSG00000146574
CD1A	CD1	NM_001763	ENSG00000158477
CD1B	CD1	NM_001764	ENSG00000158485
CD1C	CD1	NM_001765	ENSG00000158481
CD1D	CD1D	NM_001766	ENSG00000158473
CD1E	CD1E	NM_030893	ENSG00000158488
CD2	SRBC	NM_001767	ENSG00000116824
CD2BP2	CD2BP2	NM_006110	ENSG00000169217
CD3D	T3D	NM_000732	ENSG00000167286
CD3E	CD3E	NM_000733	ENSG00000198851
CD3EAP	CD3EAP	NM_012099	ENSG00000117877
CD3G	CD3G	NM_000073	ENSG00000160654
CD4	CD4	NM_000616	ENSG00000010610
CD5	LEU1	NM_014207	ENSG00000110448
CD5L	API6	NM_005894	ENSG00000073754
CD6	CD6	NM_006725	ENSG00000013725
CD7	CD7	NM_006137	ENSG00000173762
CD8A	CD8	NM_001768	ENSG00000153563
CD8B	CD8B1	NM_172099	ENSG00000172116
CD8B2	CD8BP	NM_001349727	ENSG00000254126
CD14	CD14	NM_000591	ENSG00000170458
CD22	CD22	NM_001771	ENSG00000012124
CD24	CD24	NM_013230	ENSG00000272398
CD28	CD28	NM_006139	ENSG00000178562
CD33	CD33	NM_001772	ENSG00000105383
CD34	CD34	NM_001773	ENSG00000174059
CD36	CD36	NM_001001547	ENSG00000135218
CD38	CD38	NM_001775	ENSG00000004468
CD40	TNFRSF5	NM_001250	ENSG00000101017
CD40LG	HIGM1	NM_000074	ENSG00000102245
CD40LG	IMD3	NM_000074	ENSG00000102245
CD40LG	TNFSF5	NM_000074	ENSG00000102245
CD44	MIC4	NM_000610	ENSG00000026508
CD44	MDU2	NM_000610	ENSG00000026508
CD44	MDU3	NM_000610	ENSG00000026508
CD46	MIC10	NM_172361	ENSG00000117335
CD46	MCP	NM_172361	ENSG00000117335
CD47	MER6	NM_001777	ENSG00000196776
CD48	BCM1	NM_001778	ENSG00000117091
CD52	CDW52	NM_001803	ENSG00000169442
CD53	MOX44	NM_000560	ENSG00000143119
CD55	DAF	NM_000574	ENSG00000196352
CD58	LFA3	NM_001779	ENSG00000116815
CD59	MIC11	NM_203329	ENSG00000085063
CD59	MIN1	NM_203329	ENSG00000085063
CD59	MSK21	NM_203329	ENSG00000085063
CD59	MIN2	NM_203329	ENSG00000085063
CD59	MIN3	NM_203329	ENSG00000085063
CD68	CD68	NM_001251	ENSG00000129226
CD72	CD72	NM_001782	ENSG00000137101
CD74	DHLAG	NM_004355	ENSG00000019582
CD80	CD28LG	NM_005191	ENSG00000121594
CD80	CD28LG1	NM_005191	ENSG00000121594
CD81	TAPA1	NM_004356	ENSG00000110651
CD82	ST6	NM_002231	ENSG00000085117
CD82	KAI1	NM_002231	ENSG00000085117
CD84	CD84	NM_003874	ENSG00000066294
CD86	CD28LG2	NM_006889	ENSG00000114013
CD93	MXRA4	NM_012072	ENSG00000125810
CD93	C1QR1	NM_012072	ENSG00000125810
CD99	MIC2	NM_001122898	ENSG00000002586
CD99L2	MIC2L1	NM_031462	ENSG00000102181
CD101	IGSF2	NM_004258	ENSG00000134256
CD109	CD109	NM_133493	ENSG00000156535
CD151	CD151	NM_004357	ENSG00000177697
CD160	CD160	NM_007053	ENSG00000117281
CD163	CD163	NM_004244	ENSG00000177575
CD163	CD163	NM_203416	ENSG00000177575
CD164	CD164	NM_006016	ENSG00000135535
CD164L2	CD164L2	NM_207397	ENSG00000174950
CD177	CD177	NM_020406	ENSG00000204936
CD180	LY64	NM_005582	ENSG00000134061
CD200R1	MOX2R	NM_138806	ENSG00000163606
CD200R1L	CD200R1L	NM_001008784	ENSG00000206531
CD207	CD207	NM_015717	ENSG00000116031
CD209	CD209	NM_021155	ENSG00000090659
CD226	CD226	NM_006566	ENSG00000150637
CD244	CD244	NM_016382	ENSG00000122223
CD247	CD3Z	NM_198053	ENSG00000198821
CD248	CD164L1	NM_020404	ENSG00000174807
CD274	PDCD1LG1	NM_014143	ENSG00000120217
CD276	CD276	NM_025240	ENSG00000103855
CD300A	CD300A	NM_007261	ENSG00000167851
CD300C	CD300C	NM_006678	ENSG00000167850
CD300E	CD300LE	NM_181449	ENSG00000186407
CD300LB	CD300LB	NM_174892	ENSG00000178789
CD300LD	CD300LD	NM_001115152	ENSG00000204345
CD300LF	CD300LF	NM_139018	ENSG00000186074
CD300LG	CD300LG	NM_145273	ENSG00000161649
CD302	CD302	NM_014880	ENSG00000241399
CD320	CD320	NM_016579	ENSG00000167775
CDA	CDA	NM_001785	ENSG00000158825
CDADC1	CDADC1	NM_030911	ENSG00000102543
CDAN1	CDAN1	NM_138477	ENSG00000140326
CDC7	CDC7L1	NM_003503	ENSG00000097046
CDC14A	CDC14A	NM_033312	ENSG00000079335
CDC14B	CDC14B	NM_033331	ENSG00000081377
CDC14C	CDC14C	NM_152627	ENSG00000218305
CDC16	CDC16	NM_003903	ENSG00000130177
CDC20	CDC20	NM_001255	ENSG00000117399
CDC20B	CDC20B	NM_152623	ENSG00000164287
CDC25A	CDC25A	NM_001789	ENSG00000164045
CDC25B	CDC25B	NM_021874	ENSG00000101224
CDC26	C9orf17	NM_139286	ENSG00000176386
CDC37	CDC37	NM_007065	ENSG00000105401
CDC37L1	CDC37L1	NM_017913	ENSG00000106993
CDC40	CDC40	NM_015891	ENSG00000168438
CDC42	CDC42	NM_001791	ENSG00000070831
CDC42BPA	CDC42BPA	NM_014826	ENSG00000143776
CDC42BPB	CDC42BPB	NM_006035	ENSG00000198752
CDC42BPG	CDC42BPG	NM_017525	ENSG00000171219
CDC42EP1	CDC42EP1	NM_152243	ENSG00000128283
CDC42EP2	CDC42EP2	NM_006779	ENSG00000149798
CDC42EP3	CDC42EP3	NM_006449	ENSG00000163171
CDC42EP4	CDC42EP4	NM_012121	ENSG00000179604
CDC42EP5	CDC42EP5	NM_145057	ENSG00000167617
CDC42SE1	CDC42SE1	NM_020239	ENSG00000197622
CDC42SE2	CDC42SE2	NM_020240	ENSG00000158985
CDC45	CDC45L2	NM_003504	ENSG00000093009
CDC45	CDC45L	NM_003504	ENSG00000093009
CDC73	C1orf28	NM_024529	ENSG00000134371
CDC73	HRPT2	NM_024529	ENSG00000134371
CDC73	HRPT1	NM_024529	ENSG00000134371
CDC123	C10orf7	NM_006023	ENSG00000151465
CDCA2	CDCA2	NM_152562	ENSG00000184661
CDCA4	CDCA4	NM_145701	ENSG00000170779
CDCA5	CDCA5	NM_080668	ENSG00000146670
CDCA7	CDCA7	NM_031942	ENSG00000144354
CDCA7L	CDCA7L	NM_018719	ENSG00000164649
CDCA8	CDCA8	NM_018101	ENSG00000134690
CDCP1	CDCP1	NM_022842	ENSG00000163814
CDCP2	CDCP2	NM_201546	ENSG00000157211
CDH1	UVO	NM_004360	ENSG00000039068
CDH2	NCAD	NM_001792	ENSG00000170558
CDH3	CDH3	NM_001793	ENSG00000062038
CDH4	CDH4	NM_001794	ENSG00000179242
CDH5	CDH5	NM_001795	ENSG00000179776
CDH6	CDH6	NM_004932	ENSG00000113361
CDH7	CDH7	NM_033646	ENSG00000081138
CDH8	CDH8	NM_001796	ENSG00000150394
CDH9	CDH9	NM_016279	ENSG00000113100
CDH10	CDH10	NM_006727	ENSG00000040731
CDH11	CDH11	NM_033664	ENSG00000140937
CDH12	CDH12	NM_004061	ENSG00000154162
CDH15	CDH15	NM_004933	ENSG00000129910
CDH15	CDH14	NM_004933	ENSG00000129910
CDH16	CDH16	NM_004062	ENSG00000166589
CDH17	CDH17	NM_004063	ENSG00000079112
CDH18	CDH18	NM_004934	ENSG00000145526
CDH19	CDH19	NM_021153	ENSG00000071991
CDH20	CDH20	NM_031891	ENSG00000101542
CDH22	C20orf25	NM_021248	ENSG00000149654
CDH23	DFNB12	NM_052836	ENSG00000107736
CDH23	USH1D	NM_052836	ENSG00000107736
CDH24	CDH24	NM_022478	ENSG00000139880
CDH26	CDH26	NM_177980	ENSG00000124215
CDHR1	PCDH21	NM_033100	ENSG00000148600
CDHR2	PCDH24	NM_017675	ENSG00000074276
CDHR3	CDHR3	NM_152750	ENSG00000128536
CDHR4	CDH29	NM_001007540	ENSG00000187492
CDHR5	MUCDHL	NM_021924	ENSG00000099834
CDHR5	MUPCDH	NM_021924	ENSG00000099834
CDIP1	C16orf5	NM_013399	ENSG00000089486
CDIPT	CDIPT	NM_006319	ENSG00000103502
CDK1	CDC2	NM_001786	ENSG00000170312
CDK2AP1	CDK2AP1	NM_004642	ENSG00000111328
CDK2AP2	CDK2AP2	NM_005851	ENSG00000167797
CDK3	CDK3	NM_001258	ENSG00000250506
CDK4	CDK4	NM_000075	ENSG00000135446
CDK5R1	CDK5R1	NM_003885	ENSG00000176749
CDK5R2	CDK5R2	NM_003936	ENSG00000171450
CDK5RAP1	C20orf34	NM_016408	ENSG00000101391
CDK5RAP2	MCPH3	NM_018249	ENSG00000136861
CDK5RAP3	CDK5RAP3	NM_176096	ENSG00000108465
CDK7	CDK7	NM_001799	ENSG00000134058
CDK11A	CDC2L3	NM_024011	ENSG00000008128
CDK11A	CDC2L2	NM_024011	ENSG00000008128
CDK11B	CDC2L1	NM_001787	ENSG00000248333
CDK12	CRKRS	NM_016507	ENSG00000167258
CDK13	CDC2L5	NM_003718	ENSG00000065883
CDK14	PFTK1	NM_012395	ENSG00000058091
CDK16	PCTK1	NM_006201	ENSG00000102225
CDK18	PCTK3	NM_002596	ENSG00000117266
CDK19	CDK11	NM_015076	ENSG00000155111
CDK19	CDC2L6	NM_015076	ENSG00000155111
CDK20	CCRK	NM_012119	ENSG00000156345
CDKAL1	CDKAL1	NM_017774	ENSG00000145996
CDKL2	CDKL2	NM_003948	ENSG00000138769
CDKL3	CDKL3	NM_001113575	ENSG00000006837
CDKL4	CDKL4	NM_001346911	ENSG00000205111
CDKL5	STK9	NM_003159	ENSG00000008086
CDKN1A	CDKN1	NM_078467	ENSG00000124762
CDKN1B	CDKN1B	NM_004064	ENSG00000111276
CDKN1C	BWCR	NM_000076	ENSG00000129757
CDKN1C	BWS	NM_000076	ENSG00000129757
CDKN2A	CDKN2	NM_000077	ENSG00000147889
CDKN2A	MLM	NM_000077	ENSG00000147889
CDKN2AIP	CDKN2AIP	NM_017632	ENSG00000168564
CDKN2AIPNL	CDKN2AIPNL	NM_080656	ENSG00000237190
CDKN2B	CDKN2B	NM_004936	ENSG00000147883
CDKN2C	CDKN2C	NM_001262	ENSG00000123080
CDKN2D	CDKN2D	NM_079421	ENSG00000129355
CDNF	ARMETL1	NM_001029954	ENSG00000185267
CDO1	CDO1	NM_001801	ENSG00000129596
CDON	CDON	NM_016952	ENSG00000064309
CDPF1	C22orf40	NM_207327	ENSG00000205643
CDR1	CDR	NM_004065	ENSG00000184258
CDR2L	CDR2L	NM_014603	ENSG00000109089
CDRT1	FBXW10P1	NM_006382	ENSG00000241322
CDRT4	CDRT4	NM_173622	ENSG00000239704
CDRT15	CDRT15	NM_001007530	ENSG00000223510
CDRT15L2	CDRT15L2	NM_001190790	ENSG00000214819
CDT1	CDT1	NM_030928	ENSG00000167513
CDV3	CDV3	NM_017548	ENSG00000091527
CDX1	CDX1	NM_001804	ENSG00000113722
CDX4	CDX4	NM_005193	ENSG00000131264
CDY1	CDY1	NM_170723	ENSG00000172288
